country,age_1564,age_64up,age_0014,smok,air_polution,doctor,nurse_midwivies
Gabon,59.41022284,3.563907468,37.0258697,,44.38554846,,
"Gambia, The",53.141274,2.589980939,44.26874506,15.5,33.98263855,0.1077,1.6292
Georgia,65.33926797,14.86549143,19.7952406,28.8,22.19605462,5.0976,4.0914
Germany,64.9170079,21.461962,13.6210301,30.6,12.02876736,4.1383,12.9241
Ghana,59.33504041,3.068898007,37.59606159,3.9,34.7135141,,
Gibraltar,,,,,,,
Greece,64.27348306,21.65527208,14.07124487,43.4,16.21826638,,3.3269
Greenland,,,,,11.60217946,,
Grenada,66.81680334,9.621906796,23.56128986,,22.72268748,,
Guam,65.68638097,9.849910719,24.46370832,,11.63440681,,
Guatemala,60.7525321,4.812072508,34.43539539,,24.07064893,,
Guinea,53.22380421,2.926022448,43.85017334,,26.0624902,,
Guinea-Bissau,54.83713146,2.823716336,42.33915221,,29.77470228,0.2,1.4
Guyana,65.33518355,6.450271243,28.2145452,,22.37557463,,
Haiti,61.80835189,4.949403848,33.24224426,12.7,15.01982438,,
Heavily indebted poor countries (HIPC),54.11553089,3.028409238,42.85605987,,40.685039,0.157673894,0.619161216
High income,65.54448938,17.93204393,16.52346669,24.09987478,14.68293085,3.003544614,8.78813099
Honduras,63.56850081,4.690617659,31.74088153,2,20.62885065,,
"Hong Kong SAR, China",71.2240546,16.87504833,11.90089708,,,,
Hungary,66.4302824,19.15772538,14.41199221,30.6,15.92604819,3.1159,6.6811
IBRD only,67.93499434,8.483780139,23.58122552,20.99655703,52.04535318,1.456113058,2.847062486
IDA & IBRD total,65.29225752,7.224820741,27.48292174,19.84119595,51.16829051,1.205736971,2.408690157
IDA blend,57.75720147,3.498860383,38.74393814,14.15804472,56.79624142,0.719938912,1.73159097
IDA only,57.51021929,3.587592591,38.90218812,15.28092532,44.33662543,0.301557494,0.735364967
IDA total,57.59400532,3.557491151,38.84850353,14.82213203,48.5727388,0.444726495,1.076270838
Iceland,65.37258734,14.79509256,19.83232011,14.7,6.481147263,3.7826,16.3144
India,66.7667425,6.179955649,27.05330185,11.5,90.87321047,,
Indonesia,67.59163708,5.857165613,26.55119731,39.4,16.5026533,0.274,1.3001
"Iran, Islamic Rep.",69.33886753,6.184573806,24.47655866,11,38.97876028,1.14,1.87
Iraq,58.28983494,3.323599663,38.3865654,,61.63623571,,
Ireland,64.72777871,13.8658017,21.40641959,24.3,8.208576735,2.7819,13.8727
Isle of Man,,,,,,,
Israel,60.09776752,11.97698602,27.92524646,25.2,21.38110224,3.1906,5.0715
Italy,63.91920431,22.7516796,13.32911609,23.7,16.75071194,3.9174,5.8184
Jamaica,67.45326077,8.796642551,23.75009668,16.8,13.40415053,0.4175,1.4583
Japan,59.72678128,27.57636991,12.69684881,22.1,11.70477819,,
Jordan,61.90801939,3.846490398,34.24549021,,33.00608118,2.8407,2.5822
Kazakhstan,64.14760395,7.391846271,28.46054978,24,13.82428836,,
Kenya,57.87864645,2.339186612,39.78216693,10.7,28.57837427,,
Kiribati,60.50739337,3.952627172,35.53997946,47,10.64085586,,
"Korea, Dem. People’s Rep.",70.46336609,9.33452041,20.2021135,,32.00745162,,
"Korea, Rep.",72.60812059,14.41855583,12.97332358,23.3,25.03942539,2.2596,6.0115
Kosovo,,,,,,,
Kuwait,75.91063957,2.550472384,21.53888805,22.5,60.74515954,2.5789,6.9694
Kyrgyz Republic,63.15485491,4.494727976,32.35041711,26.5,22.73776806,,
Lao PDR,63.32093135,4.075149964,32.60391868,28.9,25.10953834,,
Late-demographic dividend,70.2609934,10.72325299,19.01575361,24.74799478,40.00020683,1.945689427,3.643893854
Latin America & Caribbean,67.00809265,8.438306072,24.55360128,14.34907467,16.71803271,2.169931123,4.722211914
Latin America & Caribbean (excluding high income),66.99239321,8.24270282,24.76490397,13.57759964,16.69100957,2.190200028,4.889926155
Latin America & the Caribbean (IDA & IBRD countries),66.99153305,8.256209237,24.75225772,13.90988703,16.7060344,2.051742928,4.662369149
Latvia,63.96060274,20.04362032,15.99577694,37,13.42645752,3.1736,4.8482
Least developed countries: UN classification,57.02638841,3.540249106,39.43336248,15.8781784,45.26866463,0.258515594,0.635153336
Lebanon,66.9017647,7.002368134,26.09586717,33.8,30.62111051,2.3478,2.4438
Lesotho,62.38256097,4.901087497,32.71635154,26.7,28.02865352,,
Liberia,55.62158161,3.2534318,41.12498659,9.8,17.98411246,0.0373,0.1007
Libya,67.28872201,4.392040259,28.31923773,,54.25468179,1.95,
Liechtenstein,,,,,,,
Lithuania,65.41254234,19.70503316,14.88242451,28.8,11.85328236,4.2993,7.9034
Low & middle income,65.29075529,7.156651231,27.55259348,19.75577441,51.36963869,1.217851631,2.407681636
Low income,54.81972624,3.291171653,41.88910211,,43.21666066,0.324906629,0.860370588
Lower middle income,64.29084934,5.529415473,30.17973519,17.36424955,64.39857894,0.747090854,1.801820778
Luxembourg,69.93802183,14.18315418,15.87882399,23.5,10.3646374,2.9222,12.3346
"Macao SAR, China",75.86173049,10.48420293,13.65406658,,,,
Madagascar,56.34513228,2.986717126,40.66815059,,22.54228288,,
Malawi,53.45227916,2.64543493,43.90228591,14.5,23.56592147,,
Malaysia,69.33310429,6.671754625,23.99514109,21.5,16.03580871,1.5132,4.0718
Maldives,76.14873879,3.703344606,20.1479166,28.3,7.795820799,3.1381,7.1463
Mali,49.94928385,2.507229758,47.54348639,12.3,38.52660616,,
Malta,65.37377518,20.3493243,14.27690052,25.5,13.90954337,3.826,8.95
Marshall Islands,,,,,10.24133222,,
Mauritania,56.77570502,3.141112158,40.08318282,,47.42299178,0.1655,0.9892
Mauritius,70.73213461,11.47417307,17.79369232,21.6,14.45782732,2.0246,3.3831
Mexico,66.21946683,7.223684981,26.55684819,14,20.92111579,2.2513,2.6686
"Micronesia, Fed. Sts.",64.29598722,3.996803977,31.70720881,,11.28339944,,
Middle East & North Africa,64.93157649,5.182161356,29.88626216,19.47542778,55.6693262,1.2594006,2.315241865
Middle East & North Africa (IDA & IBRD countries),63.58108067,5.40251473,31.0164046,19.43729831,54.10477709,1.069437666,1.752603675
Middle East & North Africa (excluding high income),63.51351932,5.375436375,31.11104431,19.43729831,53.85776254,1.069437666,1.752603675
Middle income,66.59199085,7.637014665,25.77099449,20.2572953,52.36246068,1.322419873,2.588879355
