country,air_polution
Slovenia,16.0239799760869
Solomon Islands,11.8791218449166
Somalia,32.0345842282344
South Africa,25.1022049863671
South Sudan,45.5775055664158
Spain,9.69792786284953
Sri Lanka,11.0996172423996
St. Kitts and Nevis,
St. Lucia,22.4008171246298
St. Martin (French part),
St. Vincent and the Grenadines,22.2005163158424
Sudan,55.3708344433937
Suriname,24.7800105357684
Sweden,6.18466509039924
Switzerland,10.3031001048906
Syrian Arab Republic,43.7572594654519
Tajikistan,46.1521853683313
Tanzania,29.0766405124356
Thailand,26.2567265583447
Timor-Leste,19.2572091668723
Togo,35.7313356081261
Tonga,10.7854788558585
Trinidad and Tobago,24.1085684320503
Tunisia,37.6559937453942
Turkey,44.3115256776956
Turkmenistan,21.767720976212
Turks and Caicos Islands,
Tuvalu,
Uganda,50.4943213226178
Ukraine,20.3097758188675
United Arab Emirates,40.9175098248731
United Kingdom,10.4726903888942
United States,7.40944166188307
Uruguay,9.27488332030728
Uzbekistan,28.455901201856
Vanuatu,11.6527770296143
"Venezuela, RB",17.0085535697031
Vietnam,29.6267283386303
Virgin Islands (U.S.),10.2653122841077
West Bank and Gaza,33.2256303758951
"Yemen, Rep.",50.4560068932715
Zambia,27.438034758712
Zimbabwe,22.2516710932407
