country,age_65up,air_pollution,med_bed,physicians,nurses_midwives,pop_density,smoking,con_500_ind,death_100_ind,rate,confirmed_rate,ind_80,gov_resp
Dominican Republic,7.08281747649721,13.726321150433,1.6,1.56,0.3099,219.97857586421,13.7,0.3466666666666667,0.5066666666666667,0.037279151943462895,0.001065194715617947,0.5808823529411765,98.02
Ecuador,7.15728972666108,14.8861006610676,1.5,2.05,1.2,68.7886817522951,7.1,0.26666666666666666,0.4266666666666667,0.07333521533201594,0.0018660930581115812,0.5801526717557252,95.37
Egypt,5.22977934620923,86.999452050327207,1.6,0.7902,1.3989,98.8734692852479,25.2,0.46153846153846156,0.5934065934065934,0.052728783821220794,1.1002443062560355e-4,0.6194029850746269,88.75
El Salvador,8.28709000480629,24.4722922946922,1.3,1.569,2.278,309.881467181467,9.9,0.8070175438596491,1,0.02068345323741007,1.7318865228079487e-4,0.6060606060606061,96.03
Estonia,19.6263568469749,6.73212401545877,5,3.4651,6.4526,30.3861053600184,31.3,0.358974358974359,1,0.03526734926052332,0.001329826464454374,0.7867647058823529,80.29
Eswatini,4.01458794083506,17.1687873115117,2.1,0.0796,2,66.0576162790698,9,1,1,0.0106951871657754,1.6458500375377027e-4,0.6515151515151515,81.48
Ethiopia,3.50113299760986,38.9787377576037,0.3,0.1,0.84,109.224559,4.4,1,1,0.01838235294117647,2.490282428148783e-6,1,76.19
Finland,21.7207875455222,5.86133100081928,4.4,3.808,14.723,18.1568556480537,20.4,0.48598130841121495,0.7757009345794392,0.046704637917005694,0.0011141278482102793,1,75.13
France,20.0346247469881,11.8149636162893,6.5,3.2349,9.6887,122.338395739199,32.7,0.3125,0.38392857142857145,0.1532341866207806,0.029397119227619072,0.5588235294117647,93.38
Gabon,3.56390746835592,44.3855484644179,6.3,0.3611,2.5806,8.22476423332169,NA,0.8709677419354839,1,0.009057971014492754,5.209328661924478e-4,0.9411764705882353,83.6
Gambia,2.58998093938232,33.9826385538147,1.1,0.1077,1.6292,225.30652173913,15.5,1,1,0.043478260869565216,1.0087268025728673e-5,0.7720588235294118,84.78
Georgia,14.8654914310525,22.1960546181194,2.6,5.0976,4.0914,65.2752020714511,28.8,0.7848101265822784,1,0.017991004497751123,1.7898597334960577e-4,0.5955882352941176,100
Germany,21.4619619953309,12.028767360745,8.3,4.2087,13.1967,237.3709697733,30.6,0.3577981651376147,0.5137614678899083,0.04518621258840656,0.002104533553522238,0.8455882352941176,81.75
Ghana,3.06889800693396,34.713514102152,0.9,0.18,1.2,130.821429199262,3.9,0.46774193548387094,1,0.00433996383363472,1.857755210885787e-4,0.8529411764705882,85.85
Greece,21.6552720778435,16.2182663806558,4.3,4.592,3.3728,83.2247323506594,43.4,0.3037974683544304,0.6075949367088608,0.05631768953068592,2.581131870120426e-4,0.6838235294117647,87.96
Guatemala,4.81207250828785,24.0706489340746,0.6,0.355,0.947,160.953779395297,NA,0.7096774193548387,1,0.019104084321475624,8.801118890071069e-5,0.5801526717557252,97.35
Guyana,6.45027124309697,22.3755746295002,1.6,0.799,1.3398,3.95734823469647,NA,1,1,0.08849557522123894,1.4505702153005633e-4,0.6838235294117647,93.38
Honduras,4.69061765907812,20.6288506487651,0.7,0.3144,0.8815,85.6870319063366,2,0.6461538461538462,0.8769230769230769,0.05737704918032787,2.4177258732757014e-4,0.5514705882352942,100
Hungary,19.1577253832321,15.9260481922424,7,3.2312,6.6425,107.906605545123,30.6,0.3888888888888889,0.5555555555555556,0.1289940828402367,3.457601014120515e-4,1,78.44
Iceland,14.7950925565689,6.48114726265749,3.2,3.9701,15.6806,3.52692269326683,14.7,0.2987012987012987,1,0.005549389567147614,0.005108853739924756,1,56.61
India,6.17995564947149,90.8732104688993,0.7,0.7776,2.1071,454.938072575247,11.5,0.5094339622641509,0.6320754716981132,0.032306059977804065,6.062098888030806e-5,0.6838235294117647,100
Indonesia,5.85716561272863,16.5026533008949,1.2,0.3777,2.0583,147.75219008926,39.4,0.2702702702702703,0.35135135135135137,0.06516306385105586,5.9798978519423095e-5,1,74.88
Iran,6.18457380562499,38.9787602813703,1.5,1.14,1.87,50.222420123284,11,0.11627906976744186,0.1744186046511628,0.059843014676992656,0.0014001543197859165,1,65.34
Iraq,3.32359966279505,61.6362357139826,1.4,0.8217,1.6799,88.5305700354617,NA,0.4074074074074074,0.8765432098765432,0.03658924594336621,8.177740310561592e-5,0.5801526717557252,97.35
Ireland,13.8658017012923,8.20857673526837,2.8,3.0861,14.2949,70.452983016403,24.3,0.25,0.4473684210526316,0.06320560708440005,0.004895312789880404,0.6397058823529411,91.8
Israel,11.9769860249625,21.3811022400146,3.1,3.2176,5.2044,410.526802218115,25.2,0.3333333333333333,0.5952380952380952,0.015984076241027805,0.0018664159949565453,0.5588235294117647,96.03
Italy,22.7516796025077,16.7507119446607,3.4,4.0931,5.8693,205.450747943156,23.7,0.2571428571428571,0.3142857142857143,0.14060314842041094,0.0036923121736275144,0.5955882352941176,94.58
Jamaica,8.79664255070196,13.4041505299481,1.7,1.3199,1.1397,270.993074792244,16.8,0.9230769230769231,1,0.01768172888015717,1.73432759028981e-4,0.7443609022556391,85.31
Japan,27.576369910355,11.7047781866642,13.4,2.4118,11.5184,347.073458415624,22.1,0.40350877192982454,0.7105263157894737,0.04323821339950372,1.2740152265368205e-4,1,53.3
Jordan,3.84649039799834,33.0060811782318,1.4,2.3436,3.3886,112.14249831043,NA,0.9041095890410958,1,0.015358361774744027,5.885891447890124e-5,0.5661764705882353,100
Kazakhstan,7.39184627103032,13.8242883553909,6.7,3.2522,8.489,6.76982590658221,24,0.3492063492063492,1,0.005744031592173757,3.048855570933915e-4,0.6544117647058824,84.14
Kenya,2.33918661191556,28.5783742715702,1.4,0.1988,1.5421,90.2994166637383,10.7,0.8412698412698413,1,0.055408970976253295,1.4749087473179718e-5,0.6323529411764706,94.18
Kosovo,NA,NA,NA,NA,NA,168.154679893451,NA,0.46,1,0.03072033898305085,5.115699344280062e-4,0.5481481481481482,94.71
Kuwait,2.55047238400198,60.7451595380732,2,2.5789,6.9694,232.172222222222,22.5,0.5061728395061729,1,0.007348643006263048,0.002894393433026153,0.5955882352941176,100
Kyrgyz Republic,4.49472797559656,22.737768057102,4.5,1.876,6.4299,32.9290928050052,26.5,0.5344827586206896,1,0.011090573012939002,1.7112671601189345e-4,0.6544117647058824,87.31
Laos,4.0751499644481,25.1095383439169,1.5,0.4997,0.9756,30.5957842287695,28.9,1,1,0,2.6906437960055834e-6,0.7426470588235294,97.35
Lebanon,7.00236813439294,30.6211105076066,2.9,2.271,2.6448,669.494134897361,33.8,0.5,1,0.029345372460496615,1.2936336724376452e-4,0.6015625,89.41
Lesotho,4.90108749682213,28.0286535158261,1.3,0.0676,0.6508,69.437812911726,26.7,1,1,0,4.743535983515264e-7,0.7142857142857143,93.38
Liberia,3.25343179968014,17.9841124551525,0.8,0.0373,0.1007,50.0309073920266,9.8,1,1,0.09302325581395349,4.461527830491824e-5,0.75,80.29
Libya,4.39204025898401,54.2546817939319,3.7,2.1581,6.7416,3.79563238119054,NA,1,1,0.046875,9.582894054967181e-6,0.7352941176470589,100
Luxembourg,14.1831541841472,10.3646374004433,4.8,3.0266,12.3496,250.093827160494,23.5,0.27631578947368424,0.9210526315789473,0.026309067688378034,0.006439674315321984,0.75,82.27
Madagascar,2.98671712579162,22.5422828750867,0.2,0.1812,0.1059,45.1398556204881,NA,1,1,0,8.75777843033804e-6,0.7794117647058824,94.84
Malawi,2.64543493031032,23.5659214726087,1.3,0.0157,0.2528,192.440761561307,14.5,1,1,0.047619047619047616,3.472353315808054e-6,1,59.26
Malaysia,6.67175462547886,16.0358087060705,1.9,1.5132,4.0718,95.9628214883579,21.5,0.4594594594594595,0.8648648648648649,0.016424695703182286,2.1627992502676538e-4,1,78.17
Mali,2.50722975755683,38.5266061638458,0.1,0.1393,0.382,15.635015858186,12.3,0.7254901960784313,1,0.059050064184852376,4.0833035865453314e-5,1,78.83
Mauritania,3.14111215805009,47.4229917763898,0.4,0.179,1.0341,4.27216357815077,NA,1,1,0.1,4.542028410841913e-6,0.6470588235294118,80.95
Mauritius,11.4741730686522,14.4578273223582,3.4,2.0246,3.3831,623.30197044335,21.6,1,1,0.029940119760479042,2.6396839334135775e-4,0.6343283582089553,91.4
Mexico,7.22368498087198,20.9211157874081,1.5,2.2478,2.9,64.9146264050001,14,0.35064935064935066,0.4935064935064935,0.10510623312595375,3.375444489656408e-4,0.7352941176470589,88.62
Moldova,11.4695563413512,16.2510327081515,5.8,3.2002,4.5113,123.51980353224,24.2,0.36764705882352944,0.7352941176470589,0.034936070592472536,0.002052069271472911,0.6287878787878788,90.74
Mongolia,4.08353878726245,40.1128490470476,7,2.8866,3.9846,2.04060866654651,25.6,1,1,0,3.09127981507838e-5,0.9779411764705882,87.31
Morocco,7.0129048211122,32.5935414574286,1.1,0.7273,1.0979,80.7285189334528,23.4,0.3783783783783784,0.527027027027027,0.028757378537914335,1.8337935256735813e-4,0.6171875,93.38
Mozambique,2.8907644574499,21.2986954591341,0.7,0.0735,0.4436,37.508535313716,16.6,1,1,0,3.898838763082215e-6,1,53.83
Myanmar,5.78464193257209,35.5574529190767,0.9,0.864,0.9794,82.2386154835549,20.3,1,1,0.03314917127071823,3.370050436249305e-6,0.7867647058823529,81.89
Namibia,3.63603168074514,25.3587653984573,2.7,0.374,2.775,2.97374558175127,21.4,1,1,0,6.535266955443775e-6,1,75.79
Nepal,5.72767077569198,99.7343737198505,0.3,0.6507,2.6854,195.939107080572,22.8,1,1,0,8.900638998235216e-6,0.6102941176470589,95.24
Netherlands,19.1961926333387,12.0344080729237,4.7,3.5067,11.1043,511.457910359157,25.8,0.10256410256410256,0.23076923076923078,0.12841117216117215,0.012674371260654248,0.6985294117647058,84.65
New Zealand,15.6524245271741,5.95600112941562,2.8,3.0252,10.955,18.5541756864532,16,0.38961038961038963,1,0.014018691588785047,3.094401983061351e-4,0.6102941176470589,97.35
Niger,2.59500788269853,94.0538176774282,0.3,0.05,0.3109,17.7176505881424,7.7,0.4107142857142857,1,0.05707762557077625,3.9032305381628115e-5,1,61.51
Nigeria,2.74737700532743,71.7981743753326,0.5,0.3827,1.4524,215.064988965381,5.8,0.6493506493506493,0.8831168831168831,0.03235180162727625,2.635357678075284e-5,0.9558823529411765,81.5
Norway,17.0492221563211,6.95651980294718,3.9,4.6336,18.1247,14.5549195374975,20.2,0.17721518987341772,0.5316455696202531,0.028306490971205467,0.0015429460857438258,1,79.63
Oman,2.39278695625796,41.1152382655137,1.6,1.9697,4.3004,15.6041453957997,11.1,0.5802469135802469,1,0.00414651002073255,8.988539767093082e-4,0.5882352941176471,94.71
Pakistan,4.31277431133756,58.2824187715197,0.6,0.9753,0.5004,275.289318700706,20.1,0.2911392405063291,0.620253164556962,0.021515591818486644,1.6864027020140846e-4,0.6029411764705882,97.35
Panama,8.10473107966757,11.4000543321554,2.3,1.5699,1.41,56.1860774818402,6.1,0.24242424242424243,0.5606060606060606,0.028515025224830008,0.00218297276455377,0.6268656716417911,83.6
Papua New Guinea,3.44526925145617,12.2944182563739,4.0241999626,0.0529,0.5125,19.0043633794109,36.3,1,1,0,9.295498794141419e-7,0.84,83.07
Paraguay,6.43021500946081,11.9090808488171,1.3,1.366,1.1669,17.5083589227284,13.4,0.8970588235294118,1,0.014588859416445624,1.0839452328764327e-4,0.59375,96.03
Peru,8.08839279183076,24.786728048654,1.6,1.27,1.35,24.99160625,4.8,0.2857142857142857,0.45714285714285713,0.0281251550791524,0.002519720996324516,0.5514705882352942,100
Philippines,5.12256876829946,18.0697989132741,1,1.275,0.24,357.688305329175,24.3,0.5094339622641509,0.5943396226415094,0.06652071404513304,1.1135289244951441e-4,0.5661764705882353,97.22
