country,age_1564,age_64up,age_0014
Guyana,65.33518355,6.450271243,28.2145452
Haiti,61.80835189,4.949403848,33.24224426
Honduras,63.56850081,4.690617659,31.74088153
"Hong Kong SAR, China",71.2240546,16.87504833,11.90089708
Hungary,66.4302824,19.15772538,14.41199221
Iceland,65.37258734,14.79509256,19.83232011
India,66.7667425,6.179955649,27.05330185
Indonesia,67.59163708,5.857165613,26.55119731
"Iran, Islamic Rep.",69.33886753,6.184573806,24.47655866
Iraq,58.28983494,3.323599663,38.3865654
Ireland,64.72777871,13.8658017,21.40641959
Isle of Man,,,
Israel,60.09776752,11.97698602,27.92524646
Italy,63.91920431,22.7516796,13.32911609
Jamaica,67.45326077,8.796642551,23.75009668
Japan,59.72678128,27.57636991,12.69684881
Jordan,61.90801939,3.846490398,34.24549021
Kazakhstan,64.14760395,7.391846271,28.46054978
Kenya,57.87864645,2.339186612,39.78216693
Kiribati,60.50739337,3.952627172,35.53997946
"Korea, Dem. People’s Rep.",70.46336609,9.33452041,20.2021135
"Korea, Rep.",72.60812059,14.41855583,12.97332358
Kosovo,,,
Kuwait,75.91063957,2.550472384,21.53888805
Kyrgyz Republic,63.15485491,4.494727976,32.35041711
Lao PDR,63.32093135,4.075149964,32.60391868
Latvia,63.96060274,20.04362032,15.99577694
Lebanon,66.9017647,7.002368134,26.09586717
Lesotho,62.38256097,4.901087497,32.71635154
Liberia,55.62158161,3.2534318,41.12498659
Libya,67.28872201,4.392040259,28.31923773
Liechtenstein,,,
Lithuania,65.41254234,19.70503316,14.88242451
Luxembourg,69.93802183,14.18315418,15.87882399
"Macao SAR, China",75.86173049,10.48420293,13.65406658
Madagascar,56.34513228,2.986717126,40.66815059
Malawi,53.45227916,2.64543493,43.90228591
Malaysia,69.33310429,6.671754625,23.99514109
Maldives,76.14873879,3.703344606,20.1479166
Mali,49.94928385,2.507229758,47.54348639
Malta,65.37377518,20.3493243,14.27690052
Marshall Islands,,,
Mauritania,56.77570502,3.141112158,40.08318282
Mauritius,70.73213461,11.47417307,17.79369232
Mexico,66.21946683,7.223684981,26.55684819
"Micronesia, Fed. Sts.",64.29598722,3.996803977,31.70720881
Moldova,72.6703528,11.46955634,15.86009086
Monaco,,,
Mongolia,65.50689291,4.083538787,30.40956831
Montenegro,66.81554422,14.97493664,18.20951914
Morocco,65.78071505,7.012904821,27.20638013
Mozambique,52.43843539,2.890764457,44.67080015
Myanmar,67.84430978,5.784641933,26.37104828
Namibia,59.45371913,3.636031681,36.91024919
Nauru,,,
Nepal,63.8580639,5.727670776,30.41426532
Netherlands,64.69564866,19.19619263,16.10815871
New Caledonia,68.08491641,9.174157925,22.74092567
New Zealand,64.69414402,15.65242453,19.65343146
Nicaragua,64.55082135,5.247497448,30.2016812
Niger,47.42066751,2.595007883,49.98432461
Nigeria,53.38598302,2.747377005,43.86663998
North Macedonia,69.81281899,13.67018138,16.51699963
Northern Mariana Islands,,,
Norway,65.40173947,17.04922216,17.54903838
Oman,75.36070706,2.392786956,22.24650599
Pakistan,60.41741109,4.312774311,35.2698146
Palau,,,
Panama,64.8329646,8.10473108,27.06230432
Papua New Guinea,60.73879635,3.445269251,35.8159344
Paraguay,64.12927939,6.430215009,29.4405056
Peru,66.12100436,8.088392792,25.79060285
Philippines,63.91439103,5.122568768,30.9630402
Poland,67.42990642,17.51781676,15.05227681
Portugal,64.58823464,21.95385754,13.45790782
Puerto Rico,64.48906368,18.67485021,16.83608611
Qatar,85.08916548,1.370070339,13.54076419
Romania,66.12674365,18.33870139,15.53455496
Russian Federation,67.4112111,14.67470832,17.91408058
Rwanda,57.0862309,2.938196078,39.97557302
Samoa,56.87889093,4.800411974,38.32069709
San Marino,,,
Sao Tome and Principe,54.55437193,2.925678109,42.51994996
Saudi Arabia,71.64306385,3.314088023,25.04284813
Senegal,53.85774593,3.086823701,43.05543037
Serbia,65.96452656,18.34579269,15.68968075
Seychelles,68.77008322,7.594545604,23.63537118
Sierra Leone,55.97380444,2.966556211,41.05963935
Singapore,76.25833717,11.46338019,12.27828264
Sint Maarten (Dutch part),,,
Slovak Republic,68.92461673,15.6292465,15.44613676
Slovenia,65.3713453,19.60687965,15.02177505
Solomon Islands,56.15946524,3.598950459,40.2415843
Somalia,50.55010499,2.873310943,46.57658407
South Africa,65.60250585,5.318005005,29.07948915
South Sudan,54.78139569,3.39848288,41.82012143
Spain,65.95449137,19.37850752,14.66700111
Sri Lanka,65.32977922,10.47321975,24.19700102
St. Kitts and Nevis,,,
St. Lucia,71.66458664,9.806530356,18.528883
St. Martin (French part),,,
St. Vincent and the Grenadines,67.86890601,9.589786863,22.54130713
Sudan,55.91004761,3.581160528,40.50879187
Suriname,65.92336673,6.906369902,27.17026337
Sweden,62.32268961,20.09552493,17.58178546
Switzerland,66.46582867,18.62321656,14.91095477
Syrian Arab Republic,64.07533477,4.503124421,31.42154081
Tajikistan,60.19382837,3.021887552,36.78428408
Tanzania,53.30046267,2.601299178,44.09823815
Thailand,71.01211804,11.90089314,17.08698882
Timor-Leste,57.90284343,4.316492294,37.78066427
Togo,55.79600849,2.869468011,41.3345235
Tonga,58.63058035,5.953661444,35.41575821
Trinidad and Tobago,68.84547391,10.73495352,20.41957257
Tunisia,67.51420057,8.315679079,24.17012035
Turkey,66.86737692,8.48321294,24.64941014
Turkmenistan,64.7510016,4.426634462,30.82236394
Turks and Caicos Islands,,,
Tuvalu,,,
Uganda,51.1284879,1.94098692,46.93052518
Ukraine,67.75290039,16.43468644,15.81241317
United Arab Emirates,84.31148965,1.085000985,14.60350937
United Kingdom,63.92605226,18.39586567,17.67808207
United States,65.48330596,15.80765406,18.70903998
Uruguay,64.57749939,14.81451953,20.60798107
Uzbekistan,66.89480471,4.419137878,28.68605741
Vanuatu,57.51161678,3.640153068,38.84823015
"Venezuela, RB",65.0663628,7.26698662,27.66665058
Vietnam,69.55234487,7.274978298,23.17267683
Virgin Islands (U.S.),60.99828047,19.28830722,19.7134123
West Bank and Gaza,57.91933298,3.133305737,38.94736128
"Yemen, Rep.",57.50883997,2.876269756,39.61489027
Zambia,52.96418082,2.099678026,44.93614116
Zimbabwe,54.65941011,2.939523653,42.40106624
