country,value_1564,value_64up,value_0014
Algeria,63.4888248687945,6.36249654497986,30.148678586225643
American Samoa,,,
Andorra,,,
Angola,50.9747016426956,2.21637364776329,46.80892470954111
Antigua and Barbuda,69.1190827326922,8.79982551980558,22.081091747502214
Argentina,64.1212772887989,11.1177888760774,24.76093383512371
Armenia,68.11276041799,11.2538176570131,20.633421924996895
Aruba,68.6466058859653,13.5509471396854,17.802446974349294
Australia,65.1529077338752,15.6564752275591,19.190617038565705
Austria,66.7004859083869,19.0015664595899,14.29794763202321
Azerbaijan,70.4352473888986,6.19518275071493,23.369569860386463
"Bahamas, The",70.2575219701429,7.25760235662035,22.484875673236743
Bahrain,78.3193560020542,2.42633387832394,19.25431011962185
Bangladesh,67.1355868778783,5.15839063962068,27.706022482501027
Barbados,66.8543578901832,15.8026939621338,17.342948147683003
Belarus,68.2889087752101,14.8451481743098,16.865943050480098
Belgium,64.1558335012748,18.7887437383395,17.055422760385696
Belize,64.9837758535624,4.73645877657144,30.279765369866155
Benin,54.2987123079372,3.25360529746338,42.44768239459942
Bermuda,,,
Bhutan,68.2256345541021,6.00301171280561,25.771353733092283
Bolivia,61.7345048621782,7.19194739218447,31.073547745637327
Bosnia and Herzegovina,68.7634648796227,16.4703174710621,14.766217649315195
Botswana,61.6631796378814,4.22387434629301,34.112946015825585
Brazil,69.7430902567055,8.92283783244003,21.334071910854476
British Virgin Islands,,,
Brunei Darussalam,72.1003909428086,4.87314756750582,23.026461489685573
Bulgaria,64.3826202477506,21.021914434268,14.595465317981407
Burkina Faso,52.6449378491703,2.40698082866355,44.94808132216615
Burundi,52.2513787905443,2.24694046033717,45.50168074911853
Cabo Verde,66.6129058953559,4.60932715666821,28.77776694797589
Cambodia,64.2299052197099,4.56868001756576,31.20141476272434
Cameroon,54.6395427998918,2.72887735524057,42.63157984486763
Canada,66.8977424466943,17.2320066788651,15.8702508744406
Cayman Islands,,,
Central African Republic,52.879905742539,2.82577370666008,44.29432055080092
Chad,50.393181066809,2.48051894434901,47.12629998884199
Channel Islands,67.5141789687916,17.2974621552033,15.188358876005111
Chile,68.7162958723189,11.5298016568816,19.753902470799503
China,71.2021137123803,10.9208835350654,17.877002752554304
Colombia,68.4440570001664,8.47804701986958,23.077895979964026
Comoros,57.4545668623441,3.00700930649436,39.53842383116154
"Congo, Dem. Rep.",50.8165172919176,3.01784062159803,46.16564208648437
"Congo, Rep.",55.5547780005145,2.68171953903232,41.763502460453175
Costa Rica,69.1254082206391,9.54984767296984,21.32474410639105
Cote d'Ivoire,55.2040848482383,2.85894301500285,41.93697213675885
Croatia,65.0426269817306,20.445433012423,14.511940005846398
Cuba,68.6025495906116,15.1862114171521,16.211238992236304
Curacao,64.4311590640975,16.6848948092804,18.883946126622106
Cyprus,69.4930902700408,13.7190617734483,16.787847956510902
Czech Republic,64.9925175870224,19.4208768932343,15.586605519743301
Denmark,63.7287848006111,19.8129526369902,16.4582625623987
Djibouti,65.898304660541,4.52757937811482,29.574115961344177
Dominica,,,
Dominican Republic,64.9400530208454,7.08281747649721,27.97712950265739
Ecuador,64.814118271228,7.15728972666108,28.028592002110926
"Egypt, Arab Rep.",60.971499944556,5.22977934620923,33.79872070923477
El Salvador,64.5808290812314,8.28709000480629,27.132080913962312
Equatorial Guinea,60.4255237876965,2.45787734677897,37.11659886552453
Eritrea,,,
Estonia,64.0165694070692,19.6263568469749,16.3570737459559
Eswatini,57.8729205187801,4.01458794083506,38.11249154038484
Ethiopia,55.7158850950668,3.50113299760986,40.78298190732334
Faroe Islands,,,
Fiji,65.0376973863674,5.44968041263952,29.51262220099308
Finland,62.134029481894,21.7207875455222,16.145182972583797
France,62.0089108085333,20.0346247469881,17.9564644444786
French Polynesia,68.9475977657655,8.29050810468202,22.761894129552488
Gabon,59.4102228356395,3.56390746835592,37.02586969600458
"Gambia, The",53.141274000107,2.58998093938232,44.268745060510675
Georgia,65.3392679684092,14.8654914310525,19.795240600538293
Germany,64.9170079001335,21.4619619953309,13.621030104535606
Ghana,59.3350404080317,3.06889800693396,37.596061585034334
Gibraltar,,,
Greece,64.2734830567542,21.6552720778435,14.071244865402292
Greenland,,,
Grenada,66.8168033448777,9.62190679562869,23.561289859493613
Guam,65.6863809661696,9.84991071859466,24.46370831523575
Guatemala,60.7525320983504,4.81207250828785,34.435395393361745
Guinea,53.2238042069734,2.92602244847935,43.85017334454725
Guinea-Bissau,54.8371314563334,2.82371633615269,42.339152207513905
Guyana,65.335183554427,6.45027124309697,28.21454520247603
Haiti,61.8083518936764,4.94940384843253,33.24224425789107
Honduras,63.5685008076122,4.69061765907812,31.740881533309675
"Hong Kong SAR, China",71.2240545977674,16.8750483265122,11.900897075720394
Hungary,66.4302824033255,19.1577253832321,14.411992213442389
Iceland,65.3725873369903,14.7950925565689,19.83232010644079
